rank,tier,priority_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,avg_buy_usd,sources,tags,provider_tags,token_tags,manual_rating,manual_notes
98,C,110.2,4BRiPjfVeAehyxMw78Cw9Jsa8NMwy8TBgJ1RNMGcexpA,https://gmgn.ai/sol/address/4BRiPjfVeAehyxMw78Cw9Jsa8NMwy8TBgJ1RNMGcexpA,,,,1,1,0.333,3,3,3,3.9,2026-05-07T13:39:35.000Z,2026-05-08T08:07:21.502Z,131302,0,713.42793221143,0,0.00008175204878711568,gmgn,smart_degen,,,,
99,C,110,2fnp6XUrJea36F4bGR7him4zS4Tg8FE17hgKgQWSuPP7,https://gmgn.ai/sol/address/2fnp6XUrJea36F4bGR7him4zS4Tg8FE17hgKgQWSuPP7,,,,1,1,0.333,3,3,3,3.9,2026-05-07T13:39:35.000Z,2026-05-08T08:07:21.504Z,131302,1818,666.42999456157,0,0.00008679325532943845,gmgn,smart_degen,,,,
100,C,110,FG8JjLyvhfuB7eFQPL7Dc4MzfTpeXx4fPm3YGQRGeG9K,https://gmgn.ai/sol/address/FG8JjLyvhfuB7eFQPL7Dc4MzfTpeXx4fPm3YGQRGeG9K,,,,1,1,0.200,5,5,1.72,1,2026-05-07T03:29:52.000Z,2026-05-11T05:33:58.281Z,131302,0,3461.3612427721196,0,0.00003572809757966395,gmgn,smart_degen,axiom,bundler|paper_hands,,
101,C,110,GV3xVMBcrHoUaq9daSkff9byhq1eiHjbC5z6dbdTEUpA,https://gmgn.ai/sol/address/GV3xVMBcrHoUaq9daSkff9byhq1eiHjbC5z6dbdTEUpA,,,,1,1,0.333,3,3,3,3.9,2026-05-07T22:09:08.000Z,2026-05-08T08:07:29.513Z,79098,0,659.03392272775,0,0.00009605843174651439,gmgn,smart_degen,,,,
102,C,109.5,2tWpE5K6ZuUHQY5vWn8neT5EQVuCUdbC3hhyjJEHUHRm,https://gmgn.ai/sol/address/2tWpE5K6ZuUHQY5vWn8neT5EQVuCUdbC3hhyjJEHUHRm,,,,1,1,0.333,3,3,3,1,2026-05-11T03:43:47.000Z,2026-05-11T05:33:46.293Z,119579,905,103.58594219376391,0,0.0031966896775344144,gmgn,smart_degen,,,,
103,C,109.4,47VviWP4qb2QzkZowgoCFmzrZN5RojgkV1A2VSJWiukE,https://gmgn.ai/sol/address/47VviWP4qb2QzkZowgoCFmzrZN5RojgkV1A2VSJWiukE,,,,1,1,0.333,3,3,3,3.9,2026-05-07T05:29:25.000Z,2026-05-08T08:07:29.509Z,139810,0,524.51530443392,0,0.0018208907761181837,gmgn,smart_degen,,,,
104,C,108.6,BN5UW6MaLRfqV5SqrC2qFeBipDbsefMrQtfhx91JMKJ6,https://gmgn.ai/sol/address/BN5UW6MaLRfqV5SqrC2qFeBipDbsefMrQtfhx91JMKJ6,,,,1,1,0.500,2,2,2,1,2026-05-10T05:53:45.000Z,2026-05-11T05:33:46.295Z,119579,0,1055.63240858032,0,0.0015636578002141985,gmgn,smart_degen,axiom,paper_hands,,
105,C,108.3,CE6q7wR6NYKU1QzhQUz7T8ud7rtc7U5JequuzA6KAXmr,https://gmgn.ai/sol/address/CE6q7wR6NYKU1QzhQUz7T8ud7rtc7U5JequuzA6KAXmr,,,,1,1,0.333,3,3,3,1,2026-05-10T19:55:26.000Z,2026-05-11T05:33:58.285Z,4713,0,63.38575587574,0,0.00036502926343664035,gmgn,smart_degen,axiom,bundler|paper_hands,,
106,B,108.1,71pAfN1nJhcLaezSRYvwdsNFE9PnY9hNfcxB4nZ1gdAp,https://gmgn.ai/sol/address/71pAfN1nJhcLaezSRYvwdsNFE9PnY9hNfcxB4nZ1gdAp,,,,3,2,1.000,3,2,3,3.9,2026-05-08T08:07:17.000Z,2026-05-08T08:08:34.962Z,142975,0,-3.94257918716287,,,okx,smart_money,,,,
107,B,108,FYsgcNSoqZNcCXsyVvr2NWQToMJUqB2ZbTK7N1E8cqM,https://gmgn.ai/sol/address/FYsgcNSoqZNcCXsyVvr2NWQToMJUqB2ZbTK7N1E8cqM,,,,2,2,0.500,4,4,1.37,1,2026-05-10T20:45:40.000Z,2026-05-11T05:34:06.307Z,74240,0,2.96851799793,0,0.0002126539776036764,gmgn,smart_degen,axiom,bundler|paper_hands,,
